,City,Country,Latitude,Longitude,Temp,Maximum Temp,Humidity,Wind Speed,Cloud Cover
0,kununurra,AU,-15.77,128.73,69.8,69.8,88.0,10.4,50.0
1,tuktoyaktuk,CA,69.45,-133.04,21.2,21.2,85.0,12.75,75.0
2,albany,US,42.6,-73.97,52.41,53.01,88.0,3.85,99.0
3,abu kamal,SY,34.45,40.92,81.77,81.77,15.0,10.83,57.0
4,bethel,US,41.37,-73.41,54.61,55.4,93.0,6.93,90.0
5,hilo,US,19.73,-155.09,69.62,71.6,78.0,8.05,75.0
6,rikitea,PF,-23.12,-134.97,72.61,72.61,73.0,15.26,5.0
7,salalah,OM,17.02,54.09,80.6,80.6,88.0,3.36,20.0
8,faanui,PF,-16.48,-151.75,78.04,78.04,80.0,11.27,3.0
9,rikitea,PF,-23.12,-134.97,72.61,72.61,73.0,15.26,5.0
10,chuy,UY,-33.7,-53.46,65.75,65.75,69.0,7.52,84.0
11,saint-philippe,RE,-21.36,55.77,70.65,75.2,73.0,3.36,20.0
12,homer,US,59.64,-151.55,37.27,41.0,72.0,3.36,40.0
13,aguas vermelhas,BR,-15.75,-41.46,80.67,80.67,61.0,4.88,69.0
14,albany,US,42.6,-73.97,52.41,53.01,88.0,3.85,99.0
15,barrow,US,71.29,-156.79,26.6,26.6,53.0,12.75,90.0
16,waingapu,ID,-9.66,120.26,79.92,79.92,78.0,12.35,100.0
17,nichinan,JP,31.6,131.37,67.77,67.77,73.0,1.97,0.0
18,chisinau,MD,47.01,28.86,68.0,68.0,82.0,18.34,20.0
19,rikitea,PF,-23.12,-134.97,72.61,72.61,73.0,15.26,5.0
20,chuy,UY,-33.7,-53.46,65.75,65.75,69.0,7.52,84.0
21,rikitea,PF,-23.12,-134.97,72.61,72.61,73.0,15.26,5.0
22,ushuaia,AR,-54.8,-68.3,50.0,50.0,29.0,13.87,40.0
23,matagami,CA,49.75,-77.63,44.6,44.6,100.0,17.22,90.0
24,rikitea,PF,-23.12,-134.97,72.61,72.61,73.0,15.26,5.0
25,ushuaia,AR,-54.8,-68.3,50.0,50.0,29.0,13.87,40.0
26,hermanus,ZA,-34.42,19.23,59.0,59.0,65.0,1.01,34.0
27,alyangula,AU,-13.85,136.42,75.2,75.2,94.0,5.55,25.0
