,City,Country,Latitude,Longitude,Temp,Maximum Temp,Humidity,Wind Speed,Cloud Cover
0,carballo,ES,43.213,-8.691,56.26,57.99,75,14,100
1,hilo,US,19.7297,-155.09,73.09,75.2,69,5.75,1
2,saint george,US,37.1041,-113.5841,50.63,53.01,25,3.44,1
3,new norfolk,AU,-42.7826,147.0587,64.33,64.99,66,1.99,0
4,jamestown,US,42.097,-79.2353,25.95,27,80,9.22,90
5,ostrovnoy,RU,68.0531,39.5131,-2.7,-2.7,92,4.43,91
6,kapaa,US,22.0752,-159.319,72.05,73.4,88,19.57,75
7,bluff,NZ,-46.6,168.3333,51.33,51.33,82,8.66,0
8,san matias,BO,-16.3667,-58.4,93.6,93.6,43,4.7,75
9,sakaiminato,JP,35.55,133.2333,44.6,44.6,76,18.41,20
10,kingaroy,AU,-26.5333,151.8333,68,68,94,1.14,100
11,barawe,,,,,,,,
12,ushuaia,AR,-54.8,-68.3,50,50,71,17.27,75
13,rungata,,,,,,,,
14,qaanaaq,GL,77.484,-69.3632,-26.37,-26.37,79,4.5,96
15,busselton,AU,-33.65,115.3333,49.77,51.01,94,9.6,0
16,hay river,CA,60.8156,-115.7999,24.8,24.8,58,9.22,0
17,markova,UA,48.6758,24.4138,21.09,21.2,79,2.24,75
18,selfoss,IS,63.9331,-20.9971,34,34,71,3,100
19,sharjah,AE,25.3573,55.4033,72.19,73.4,83,3.44,100
20,abu dhabi,AE,24.4667,54.3667,71.6,71.6,83,4.61,0
21,dhidhdhoo,MV,6.8833,73.1,81.21,81.21,69,8.21,97
22,bambous virieux,MU,-20.3428,57.7575,80.33,80.6,83,11.5,75
23,ambalavao,MG,-21.8333,46.9333,69.42,69.42,89,2.77,84
24,puerto ayora,EC,-0.7393,-90.3518,82.15,82.4,78,4.61,75
25,saleaula,,,,,,,,
26,port alfred,ZA,-33.5906,26.891,71.01,71.01,93,16.84,12
27,marcona,,,,,,,,
28,nicoya,CR,10.1483,-85.452,91.4,91.4,31,11.5,20
29,puerto ayora,EC,-0.7393,-90.3518,82.15,82.4,78,4.61,75
30,rikitea,PF,-23.1203,-134.9692,78.31,78.31,68,10.67,100
31,cape town,ZA,-33.9258,18.4232,66.45,66.99,68,20.71,75
32,pringsewu,ID,-5.3582,104.9744,72.27,72.27,93,3.69,100
33,new norfolk,AU,-42.7826,147.0587,64.33,64.99,66,1.99,0
34,bluff,NZ,-46.6,168.3333,51.33,51.33,82,8.66,0
35,beloha,MG,-25.1667,45.05,78.39,78.39,79,12.21,40
36,tsihombe,,,,,,,,
37,hilo,US,19.7297,-155.09,73.09,75.2,69,5.75,1
38,chokurdakh,RU,70.6333,147.9167,-33.43,-33.43,85,1.32,0
39,san jose,US,37.3394,-121.895,61.5,63,42,10.36,90
40,cape town,ZA,-33.9258,18.4232,66.45,66.99,68,20.71,75
41,albany,US,42.6001,-73.9662,29.98,30.99,67,2.66,100
42,albany,US,42.6001,-73.9662,29.98,30.99,67,2.66,100
43,illoqqortoormiut,,,,,,,,
44,port elizabeth,ZA,-33.918,25.5701,69.8,69.8,88,9.22,90
45,nicoya,CR,10.1483,-85.452,91.4,91.4,31,11.5,20
46,qaanaaq,GL,77.484,-69.3632,-26.37,-26.37,79,4.5,96
47,new norfolk,AU,-42.7826,147.0587,64.33,64.99,66,1.99,0
48,scarborough,GB,54.2797,-0.4044,50,50,85,7,100
49,pousat,,,,,,,,
50,wichita falls,US,33.9137,-98.4934,31.14,32,55,6.91,1
51,punta arenas,CL,-53.15,-70.9167,55.2,55.4,58,17.27,75
52,hithadhoo,MV,-0.6,73.0833,83.5,83.5,72,10.04,93
53,moctezuma,MX,29.8,-109.6667,64.56,64.56,26,5.7,0
54,rikitea,PF,-23.1203,-134.9692,78.31,78.31,68,10.67,100
55,port alfred,ZA,-33.5906,26.891,71.01,71.01,93,16.84,12
56,dikson,RU,73.5069,80.5464,-31.34,-31.34,82,9.1,2
57,rikitea,PF,-23.1203,-134.9692,78.31,78.31,68,10.67,100
58,ushuaia,AR,-54.8,-68.3,50,50,71,17.27,75
59,dikson,RU,73.5069,80.5464,-31.34,-31.34,82,9.1,2
60,punta arenas,CL,-53.15,-70.9167,55.2,55.4,58,17.27,75
61,new norfolk,AU,-42.7826,147.0587,64.33,64.99,66,1.99,0
62,upernavik,GL,72.7868,-56.1549,-17.19,-17.19,87,4.85,24
63,mys shmidta,,,,,,,,
64,lebu,CL,-37.6167,-73.65,59.72,59.72,54,23.89,0
65,panarukan,ID,-7.7018,113.9184,77.83,77.83,85,5.5,100
66,umzimvubu,,,,,,,,
67,qaanaaq,GL,77.484,-69.3632,-26.37,-26.37,79,4.5,96
68,punta arenas,CL,-53.15,-70.9167,55.2,55.4,58,17.27,75
69,mataura,NZ,-46.1927,168.8643,45.66,45.66,86,1.9,0
70,nikolskoye,RU,59.7035,30.7861,12.63,14,73,4.47,0
71,east london,ZA,-33.0153,27.9116,71.6,71.6,88,6.91,75
72,faya,SA,18.3851,42.4509,55.38,57.2,94,6.91,20
73,rikitea,PF,-23.1203,-134.9692,78.31,78.31,68,10.67,100
74,avarua,CK,-21.2078,-159.775,80.6,80.6,83,12.66,75
75,comodoro rivadavia,AR,-45.8667,-67.5,66.2,66.2,39,6.91,20
76,okhotsk,RU,59.3833,143.3,-2.76,-2.76,83,13.13,0
77,roald,NO,62.5833,6.1333,44.6,44.6,57,8.05,0
78,alofi,NU,-19.0595,-169.9187,78.8,78.8,83,5.75,64
79,micheweni,TZ,-4.9667,39.8333,80.87,80.87,79,6.2,92
80,cape town,ZA,-33.9258,18.4232,66.45,66.99,68,20.71,75
81,padang,ID,-0.9492,100.3543,75.2,75.2,83,1.14,20
82,luderitz,NA,-26.6481,15.1594,66.96,66.96,56,22.03,0
83,taolanaro,,,,,,,,
84,vestmanna,FO,62.1564,-7.1664,44.6,44.6,100,16.11,90
85,rochester,US,43.1548,-77.6156,31.66,33.01,74,10.36,90
86,busselton,AU,-33.65,115.3333,49.77,51.01,94,9.6,0
87,abyek,IR,36.0667,50.55,34.72,35.6,51,9.22,0
88,brandfort,ZA,-28.7001,26.4597,66.2,66.2,45,3.44,0
89,ushuaia,AR,-54.8,-68.3,50,50,71,17.27,75
90,vaini,TO,-21.2,-175.2,77,77,78,11.5,75
91,airai,TL,-8.9266,125.4092,60.22,60.22,100,1.77,97
92,hay river,CA,60.8156,-115.7999,24.8,24.8,58,9.22,0
93,punta arenas,CL,-53.15,-70.9167,55.2,55.4,58,17.27,75
94,port hedland,AU,-20.3167,118.5667,75.2,75.2,100,9.22,40
95,qaanaaq,GL,77.484,-69.3632,-26.37,-26.37,79,4.5,96
96,rikitea,PF,-23.1203,-134.9692,78.31,78.31,68,10.67,100
97,ushuaia,AR,-54.8,-68.3,50,50,71,17.27,75
98,puerto ayora,EC,-0.7393,-90.3518,82.15,82.4,78,4.61,75
99,ushuaia,AR,-54.8,-68.3,50,50,71,17.27,75
100,correntina,BR,-13.3433,-44.6367,79.18,79.18,78,6.85,100
101,nizhneyansk,,,,,,,,
102,fort smith,US,35.3859,-94.3986,32.9,33.8,47,4.25,1
103,ushuaia,AR,-54.8,-68.3,50,50,71,17.27,75
104,sokolo,ML,14.7328,-6.1219,81.32,81.32,15,5.08,12
105,hilo,US,19.7297,-155.09,73.09,75.2,69,5.75,1
106,calama,CL,-22.4667,-68.9333,73.4,73.4,15,20.71,20
107,skeldon,GY,5.8833,-57.1333,82.54,82.54,63,9.84,97
108,ushuaia,AR,-54.8,-68.3,50,50,71,17.27,75
109,khatanga,RU,71.9667,102.5,-22.94,-22.94,87,1.66,100
110,vaini,TO,-21.2,-175.2,77,77,78,11.5,75
111,punta arenas,CL,-53.15,-70.9167,55.2,55.4,58,17.27,75
112,kruisfontein,ZA,-34.0033,24.7314,70,70,83,4,22
113,safakulevo,RU,54.9901,62.5442,-4.81,-4.81,92,7.54,100
114,saskylakh,RU,71.9167,114.0833,-28.43,-28.43,84,7.83,97
115,hilo,US,19.7297,-155.09,73.09,75.2,69,5.75,1
116,attawapiskat,,,,,,,,
117,chuy,UY,-33.6971,-53.4616,83.93,83.93,52,9.44,0
118,tigil,RU,57.8,158.6667,8.42,8.42,93,8.08,100
119,georgetown,MY,5.4112,100.3354,77.65,78.8,69,6.91,20
120,port alfred,ZA,-33.5906,26.891,71.01,71.01,93,16.84,12
121,fortuna,US,40.5982,-124.1573,50.76,52,100,5.77,75
122,taolanaro,,,,,,,,
123,salalah,OM,17.0151,54.0924,73.4,73.4,56,4.61,0
124,atuona,PF,-9.8,-139.0333,79.05,79.05,78,13.71,8
125,narsaq,GL,60.9167,-46.05,26.6,26.6,50,4.61,75
126,barrow,US,71.2906,-156.7887,-5.8,-5.8,77,13.8,40
127,bethel,US,41.3712,-73.414,30.88,32,86,6.91,90
128,albany,US,42.6001,-73.9662,29.98,30.99,67,2.66,100
129,busselton,AU,-33.65,115.3333,49.77,51.01,94,9.6,0
130,kapaa,US,22.0752,-159.319,72.05,73.4,88,19.57,75
131,mahebourg,MU,-20.4081,57.7,80.6,80.6,83,11.5,75
132,balykshi,KZ,47.0667,51.8667,1.4,1.4,92,8.95,0
133,mataura,NZ,-46.1927,168.8643,45.66,45.66,86,1.9,0
134,tasiilaq,GL,65.6145,-37.6368,28.4,28.4,93,3.44,90
135,arraial do cabo,BR,-22.9661,-42.0278,80.6,80.6,74,5.75,75
136,san patricio,US,28.017,-97.5169,45.32,46.4,45,9.22,20
137,taolanaro,,,,,,,,
138,tuktoyaktuk,CA,69.4541,-133.0374,-31,-31,68,6.91,40
139,pervomayskiy,RU,53.2485,40.2871,2.16,2.16,93,7.72,93
140,rikitea,PF,-23.1203,-134.9692,78.31,78.31,68,10.67,100
141,maryborough,AU,-25.5333,152.7,72,72,93,3,100
142,kavieng,PG,-2.5744,150.7967,82.78,82.78,81,12.37,51
143,port-cartier,CA,50.0334,-66.8654,20.86,21.99,49,8.05,20
144,vaini,TO,-21.2,-175.2,77,77,78,11.5,75
145,rikitea,PF,-23.1203,-134.9692,78.31,78.31,68,10.67,100
146,san miguel,SV,13.4833,-88.1833,90.55,93.2,52,2.3,40
147,ushuaia,AR,-54.8,-68.3,50,50,71,17.27,75
148,alugan,PH,12.2188,125.4808,76.64,76.64,73,21.16,100
149,vaini,TO,-21.2,-175.2,77,77,78,11.5,75
150,cherskiy,RU,68.75,161.3,-32.4,-32.4,81,1.7,0
151,saint-pierre,RE,-21.3393,55.4781,76.24,78.8,83,3.44,0
152,andilamena,MG,-17.0167,48.5833,69.22,69.22,95,5.55,100
153,hermanus,ZA,-34.4187,19.2345,66.99,66.99,71,8.32,100
154,busselton,AU,-33.65,115.3333,49.77,51.01,94,9.6,0
155,kaitangata,NZ,-46.2817,169.8464,48.72,48.72,86,4.25,0
156,dikson,RU,73.5069,80.5464,-31.34,-31.34,82,9.1,2
157,mataura,NZ,-46.1927,168.8643,45.66,45.66,86,1.9,0
158,rikitea,PF,-23.1203,-134.9692,78.31,78.31,68,10.67,100
159,tumannyy,,,,,,,,
160,severo-kurilsk,RU,50.6789,156.125,28.02,28.02,96,22.03,100
161,cabo san lucas,MX,22.8909,-109.9124,74.75,78.01,60,10.36,1
